date,x,y,z
2024831172139,-6.383241176605225,2.5474305152893066,7.22599983215332
2024831172142,1.173158884048462,6.591536521911621,6.500556945800781
2024831172145,-8.399158477783203,-0.14365209639072418,0.2992752194404602
2024831172148,-6.423942565917969,9.119813919067383,14.861408233642578
2024831172151,-4.627991676330566,-4.106055736541748,7.573159217834473
2024831172154,2.889801502227783,4.821922302246094,7.6210432052612305
2024831172158,-5.540482044219971,-0.45250412821769714,-8.777442932128906
202483117221,-5.9427080154418945,9.033622741699219,5.624279022216797
202483117224,-2.9544448852539062,4.795586109161377,6.6035075187683105
202483117227,-3.8786067962646484,-1.6903064250946045,14.825495719909668
2024831172210,-2.207453966140747,6.148609161376953,10.386345863342285
2024831172213,-11.4757080078125,-2.0231003761291504,-18.423980712890625
2024831172216,0.6751648783683777,11.925817489624023,-2.212242364883423
2024831172219,-14.990694999694824,15.649101257324219,8.023268699645996
2024831172222,-2.8395233154296875,3.2106244564056396,1.5538369417190552
2024831172225,-1.1971008777618408,-1.7381904125213623,6.84053373336792
2024831172228,-6.273107528686523,8.621819496154785,6.967426300048828
2024831172232,1.889025092124939,11.521198272705078,1.170764684677124
2024831172235,-5.550058841705322,3.44765043258667,-7.3576812744140625
2024831172238,-6.526893138885498,0.15083470940589905,10.043975830078125
2024831172241,-3.5697548389434814,9.174880027770996,11.44458293914795
2024831172244,-2.9448680877685547,12.976872444152832,-3.5673606395721436
