date,x,y,z
2024723205033,-0.07, -0.75, 0.68
2024723205033,-0.07, -0.74, 0.69
2024723205033,-0.07, -0.75, 0.68
2024723205033,-0.08, -0.75, 0.68
2024723205033,-0.08, -0.74, 0.68
2024723205033,-0.07, -0.75, 0.68
2024723205033,-0.06, -0.76, 0.68
2024723205033,-0.06, -0.75, 0.68
2024723205033,-0.06, -0.75, 0.68
2024723205033,-0.07, -0.75, 0.68
2024723205033,-0.08, -0.74, 0.68
2024723205033,-0.08, -0.75, 0.68
2024723205033,-0.07, -0.75, 0.68
2024723205033,-0.07, -0.75, 0.68
2024723205033,-0.07, -0.75, 0.68
2024723205033,-0.07, -0.75, 0.68
2024723205033,-0.07, -0.74, 0.69
2024723205033,-0.07, -0.75, 0.68
2024723205033,-0.07, -0.75, 0.68
2024723205033,-0.07, -0.75, 0.68
2024723205033,-0.07, -0.76, 0.68
2024723205033,-0.07, -0.75, 0.68
2024723205033,-0.07, -0.75, 0.68
2024723205033,-0.07, -0.74, 0.68
2024723205033,-0.07, -0.74, 0.68
2024723205033,-0.07, -0.75, 0.68
2024723205033,-0.07, -0.75, 0.68
2024723205033,-0.07, -0.75, 0.68
2024723205033,-0.07, -0.75, 0.68
2024723205033,-0.07, -0.78, 0.68
2024723205033,-0.07, -0.74, 0.68
2024723205033,-0.07, -0.75, 0.68
2024723205033,-0.07, -0.75, 0.68
2024723205033,-0.07, -0.75, 0.68
2024723205034,-0.07, -0.76, 0.68
2024723205034,-0.08, -0.75, 0.68
2024723205034,-0.08, -0.74, 0.68
2024723205034,-0.08, -0.74, 0.68
2024723205034,-0.07, -0.75, 0.68
2024723205034,-0.07, -0.75, 0.68
2024723205034,-0.07, -0.75, 0.68
2024723205034,-0.07, -0.75, 0.68
2024723205034,-0.07, -0.75, 0.68
2024723205034,-0.07, -0.75, 0.68
2024723205034,-0.07, -0.74, 0.68
2024723205034,-0.07, -0.75, 0.68
2024723205034,-0.07, -0.75, 0.68
2024723205034,-0.07, -0.75, 0.68
2024723205034,-0.07, -0.76, 0.68
2024723205034,-0.07, -0.75, 0.67
2024723205034,-0.08, -0.75, 0.68
2024723205034,-0.07, -0.75, 0.68
2024723205034,-0.07, -0.75, 0.68
2024723205034,-0.07, -0.75, 0.68
2024723205034,-0.07, -0.75, 0.68
2024723205034,-0.07, -0.75, 0.68
2024723205034,-0.07, -0.75, 0.68
2024723205034,-0.07, -0.75, 0.68
2024723205034,-0.07, -0.75, 0.68
2024723205034,-0.07, -0.75, 0.68
2024723205034,-0.07, -0.75, 0.68
2024723205034,-0.07, -0.75, 0.68
2024723205034,-0.07, -0.75, 0.68
2024723205034,-0.07, -0.75, 0.68
2024723205034,-0.07, -0.75, 0.68
2024723205034,-0.07, -0.75, 0.68
2024723205034,-0.07, -0.74, 0.68
2024723205034,-0.07, -0.75, 0.68
2024723205034,-0.07, -0.75, 0.68
2024723205034,-0.07, -0.75, 0.68
2024723205034,-0.07, -0.75, 0.68
2024723205034,-0.07, -0.75, 0.68
2024723205034,-0.07, -0.75, 0.68
2024723205034,-0.07, -0.75, 0.68
2024723205034,-0.07, -0.75, 0.68
2024723205034,-0.07, -0.75, 0.68
2024723205034,-0.07, -0.75, 0.68
2024723205034,-0.07, -0.75, 0.68
2024723205034,-0.07, -0.75, 0.68
2024723205035,-0.07, -0.75, 0.68
2024723205035,-0.07, -0.75, 0.68
2024723205035,-0.07, -0.75, 0.68
2024723205035,-0.07, -0.75, 0.68
2024723205035,-0.07, -0.75, 0.68
2024723205035,-0.07, -0.75, 0.68
2024723205035,-0.07, -0.75, 0.68
2024723205035,-0.07, -0.75, 0.68
2024723205035,-0.07, -0.75, 0.68
2024723205035,-0.07, -0.75, 0.68
2024723205035,-0.07, -0.75, 0.68
2024723205035,-0.07, -0.75, 0.68
2024723205035,-0.07, -0.75, 0.68
2024723205035,-0.07, -0.75, 0.68
2024723205035,-0.07, -0.75, 0.68
2024723205035,-0.07, -0.75, 0.68
2024723205035,-0.07, -0.75, 0.68
2024723205035,-0.07, -0.75, 0.68
2024723205035,-0.07, -0.75, 0.68
2024723205035,-0.07, -0.75, 0.68
2024723205035,-0.07, -0.75, 0.68
2024723205035,-0.07, -0.75, 0.68
2024723205035,-0.07, -0.75, 0.68
2024723205035,-0.07, -0.75, 0.68
2024723205035,-0.07, -0.75, 0.68
2024723205035,-0.07, -0.75, 0.68
2024723205035,-0.07, -0.75, 0.68
2024723205035,-0.07, -0.75, 0.68
2024723205035,-0.07, -0.75, 0.68
2024723205035,-0.07, -0.76, 0.68
2024723205035,-0.07, -0.75, 0.68
2024723205035,-0.07, -0.75, 0.68
2024723205035,-0.08, -0.74, 0.68
2024723205035,-0.07, -0.75, 0.68
2024723205035,-0.07, -0.75, 0.68
